zip,compid,compname,comrate,indrate,resrate
23966,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23967,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23968,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23970,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
23974,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
24011,733,Appalachian Power Co.,52.6,36.59,58.52
24012,733,Appalachian Power Co.,52.6,36.59,58.52
24013,733,Appalachian Power Co.,52.6,36.59,58.52
24014,733,Appalachian Power Co.,52.6,36.59,58.52
24015,733,Appalachian Power Co.,52.6,36.59,58.52
24016,733,Appalachian Power Co.,52.6,36.59,58.52
24017,733,Appalachian Power Co.,52.6,36.59,58.52
24018,733,Appalachian Power Co.,52.6,36.59,58.52
24019,733,Appalachian Power Co.,52.6,36.59,58.52
24043,733,Appalachian Power Co.,52.6,36.59,58.52
24053,733,Appalachian Power Co.,52.6,36.59,58.52
24054,733,Appalachian Power Co.,52.6,36.59,58.52
24055,733,Appalachian Power Co.,52.6,36.59,58.52
24058,733,Appalachian Power Co.,52.6,36.59,58.52
24059,733,Appalachian Power Co.,52.6,36.59,58.52
24060,733,Appalachian Power Co.,52.6,36.59,58.52
24061,733,Appalachian Power Co.,52.6,36.59,58.52
24064,733,Appalachian Power Co.,52.6,36.59,58.52
24065,733,Appalachian Power Co.,52.6,36.59,58.52
24066,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
24066,733,Appalachian Power Co.,52.6,36.59,58.52
24067,733,Appalachian Power Co.,52.6,36.59,58.52
24069,733,Appalachian Power Co.,52.6,36.59,58.52
24070,733,Appalachian Power Co.,52.6,36.59,58.52
24072,733,Appalachian Power Co.,52.6,36.59,58.52
24073,733,Appalachian Power Co.,52.6,36.59,58.52
24076,733,Appalachian Power Co.,52.6,36.59,58.52
24077,733,Appalachian Power Co.,52.6,36.59,58.52
24078,733,Appalachian Power Co.,52.6,36.59,58.52
24079,733,Appalachian Power Co.,52.6,36.59,58.52
24082,733,Appalachian Power Co.,52.6,36.59,58.52
24083,733,Appalachian Power Co.,52.6,36.59,58.52
24084,733,Appalachian Power Co.,52.6,36.59,58.52
24085,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
24085,733,Appalachian Power Co.,52.6,36.59,58.52
24086,733,Appalachian Power Co.,52.6,36.59,58.52
24087,733,Appalachian Power Co.,52.6,36.59,58.52
24088,733,Appalachian Power Co.,52.6,36.59,58.52
24089,733,Appalachian Power Co.,52.6,36.59,58.52
24090,733,Appalachian Power Co.,52.6,36.59,58.52
24091,733,Appalachian Power Co.,52.6,36.59,58.52
24092,733,Appalachian Power Co.,52.6,36.59,58.52
24093,733,Appalachian Power Co.,52.6,36.59,58.52
24095,733,Appalachian Power Co.,52.6,36.59,58.52
24101,733,Appalachian Power Co.,52.6,36.59,58.52
24102,733,Appalachian Power Co.,52.6,36.59,58.52
24104,733,Appalachian Power Co.,52.6,36.59,58.52
24105,733,Appalachian Power Co.,52.6,36.59,58.52
24112,733,Appalachian Power Co.,52.6,36.59,58.52
24120,733,Appalachian Power Co.,52.6,36.59,58.52
24121,733,Appalachian Power Co.,52.6,36.59,58.52
24122,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
24122,733,Appalachian Power Co.,52.6,36.59,58.52
24124,733,Appalachian Power Co.,52.6,36.59,58.52
24127,733,Appalachian Power Co.,52.6,36.59,58.52
24127,12796,Monongahela Power Co.,59.39,41.09,72.5
24128,733,Appalachian Power Co.,52.6,36.59,58.52
24131,12796,Monongahela Power Co.,59.39,41.09,72.5
