STATE,LIBNAME,ADDRESS,CITY,ZIP,CNTY,SQ_FEET,HOURS,WKS_OPEN,LONGITUD,LATITUDE
VA,DUMFRIES NEIGHBORHOOD LIBRARY,18007 DUMFRIES SHOPPING PLAZA,DUMFRIES,22026,PRINCE WILLIAM,2760,-1,-1,-77.328245,38.56216
VA,GAINESVILLE NEIGHBORHOOD LIBRARY,4603 JAMES MADISON HIGHWAY,HAYMARKET,20169,PRINCE WILLIAM,2059,-1,-1,-77.637807,38.85634
VA,INDEPENDENT HILL NEIGHBORHOOD LIBRARY,14418 BRISTOW ROAD,MANASSAS,20112,PRINCE WILLIAM,2059,-1,-1,-77.447903,38.64048
VA,LAKE RIDGE NEIGHBORHOOD LIBRARY,12964 HARBOR DRIVE,WOODBRIDGE,22192,PRINCE WILLIAM,2066,-1,-1,-77.28052,38.6735
VA,NOKESVILLE NEIGHBORHOOD LIBRARY,12993 FITZWATER DRIVE,NOKESVILLE,20181,PRINCE WILLIAM,1653,-1,-1,-77.581799,38.69933
VA,POTOMAC COMMUNITY LIBRARY,2201 OPITZ BOULEVARD,WOODBRIDGE,22191,PRINCE WILLIAM,18000,-1,-1,-77.279745,38.63276
VA,CENTRAL COMMUNITY LIBRARY,8601 MATHIS AVENUE,MANASSAS,20110,PRINCE WILLIAM,22480,-1,-1,-77.455042,38.76956
VA,CHINN PARK REGIONAL LIBRARY,13065 CHINN PARK DRIVE,PRINCE WILLIAM,22192,PRINCE WILLIAM,25000,-1,-1,-77.33371,38.67135
VA,BULL RUN REGIONAL LIBRARY,8051 ASHTON AVENUE,MANASSAS,20109,PRINCE WILLIAM,25000,-1,-1,-77.520954,38.785
VA,PULASKI COUNTY LIBRARY,60 WEST THIRD ST.,PULASKI,24301,PULASKI,9400,-1,-1,-80.781193,37.0488
VA,CHARLES & ONA B. FREE MEMORIAL LIBRARY,300 GILES AVENUE,DUBLIN,24084,PULASKI,3300,-1,-1,-80.687918,37.1083
VA,RADFORD PUBLIC LIBRARY,30 WEST MAIN STREET,RADFORD,24141,RADFORD,19877,-1,-1,-80.56835,37.13783
VA,RAPPAHANNOCK COUNTY LIBRARY,4 LIBRARY ROAD,WASHINGTON,22747,RAPPAHANNOCK,5000,-1,-1,-78.147157,38.71415
VA,THE MAIN LIBRARY,101 EAST FRANKLIN STREET,RICHMOND,23219,RICHMOND,112620,-1,-1,-77.442606,37.54331
VA,BELMONT LIBRARY,3100 ELLWOOD AVE,RICHMOND,23221,RICHMOND,7450,-1,-1,-77.479698,37.5541
VA,BROAD ROCK LIBRARY,4820 OLD WARWICK ROAD,RICHMOND,23224,RICHMOND,7390,-1,-1,-77.479528,37.4828
VA,EAST END LIBRARY,2414 R STREET,RICHMOND,23223,RICHMOND,6271,-1,-1,-77.412053,37.5399
VA,GINTER PARK LIBRARY,1200 WESTBROOK AVE,RICHMOND,23227,RICHMOND,6515,-1,-1,-77.454465,37.59683
VA,HULL STREET LIBRARY,1400 HULL STREET,RICHMOND,23224,RICHMOND,6620,-1,-1,-77.445785,37.51983
VA,NORTH AVE LIBRARY,2901 NORTH AVE,RICHMOND,23222,RICHMOND,6543,-1,-1,-77.432816,37.57013
VA,WEST END LIBRARY,5420 PATTERSON AVE,RICHMOND,23226,RICHMOND,7500,-1,-1,-77.511314,37.57739
VA,WESTOVER HILLS BRANCH,1408 WESTOVER BOULEVARD,RICHMOND,23225,RICHMOND CITY,5407,-1,-1,-77.5099,37.51668
VA,ROANOKE CITY PUBLIC LIBRARY,706 S. JEFFERSON ST.,ROANOKE,24016,ROANOKE CITY,54981,-1,-1,-79.940754,37.2677
VA,GAINSBORO BRANCH LIBRARY,15 PATTON AVE. NW,ROANOKE,24016,ROANOKE CITY,8700,-1,-1,-79.940567,37.27705
VA,JACKSON PARK BRANCH LIBRARY,1101 MORNINGSIDE ST. SE,ROANOKE,24013,ROANOKE CITY,7400,-1,-1,-79.92497,37.2662
VA,ROANOKE LAW LIBRARY,315 CHURCH AVE. SW,ROANOKE,24011,ROANOKE CITY,5107,-1,-1,-79.94609,37.27055
VA,MELROSE BRANCH LIBRARY,"2607 SALEM TURNPIKE, NW",ROANOKE,24017,ROANOKE CITY,6720,-1,-1,-79.985763,37.28541
VA,RALEIGH COURT BRANCH LIBRARY,"2112 GRANDIN RD., SW",ROANOKE,24015,ROANOKE CITY,5110,-1,-1,-79.984916,37.25651
VA,WILLIAMSON ROAD BRANCH LIBRARY,3837 WILLIAMSON RD. NE,ROANOKE,24012,ROANOKE CITY,6457,-1,-1,-79.947836,37.3078
VA,ROANOKE CITY BOOKMOBILE,706 S. JEFFERSON ST,ROANOKE,24016,ROANOKE CITY,-3,-3,-3,-79.940754,37.267708
VA,GARDEN CITY E-BRANCH,3800 YELLOW MOUNTAIN ROAD,ROANOKE,24014,ROANOKE CITY,1000,-1,-1,-79.930483,37.22581
VA,VALLEY VIEW KIOSK E-BRANCH,4802 VALLEY VIEW BLVD NW,ROANOKE,24012,ROANOKE CITY,100,-1,-1,-79.960995,37.305752
VA,ROANOKE COUNTY PUBLIC LIBRARY,3131 ELECTRIC ROAD SW,ROANOKE,24018,ROANOKE,20787,-1,-1,-80.010441,37.2318
VA,ROANOKE COUNTY PUBLIC LIBRARY - BENT MOUNTAIN BRANCH,10148 TINSLEY LANE,BENT MOUNTAIN,24059,ROANOKE,850,-1,-1,-80.122787,37.15528
VA,ROANOKE COUNTY PUBLIC LIBRARY - GLENVAR BRANCH,3917 DAUGHERTY ROAD,SALEM,24153,ROANOKE,5114,-1,-1,-80.134264,37.2846
VA,ROANOKE COUNTY PUBLIC LIBRARY - HOLLINS BRANCH,6624 PETERS CREEK ROAD,ROANOKE,24019,ROANOKE,17916,-1,-1,-79.960878,37.3451
VA,ROANOKE COUNTY PUBLIC LIBRARY - MOUNT PLEASANT BRANCH,2918 JAE VALLEY ROAD,ROANOKE,24014,ROANOKE,529,-1,-1,-79.910131,37.238072
VA,ROANOKE COUNTY PUBLIC LIBRARY - VINTON BRANCH,800 EAST WASHINGTON AVENUE,VINTON,24179,ROANOKE,9420,-1,-1,-79.890497,37.27944
VA,HEADQUARTERS,138 S. MAIN ST.,LEXINGTON,24450,LEXINGTON,14484,-1,-1,-79.443481,37.78365
VA,BATH COUNTY PUBLIC LIBRARY,96 COURT HOUSE HILL ROAD,WARM SPRINGS,24484,BATH,4942,-1,-1,-79.787027,38.04533
VA,BUENA VISTA PUBLIC LIBRARY,2110 MAGNOLIA AVE.,BUENA VISTA,24416,BUENA VISTA,2724,-1,-1,-79.35415,37.73465
VA,GLASGOW PUBLIC LIBRARY,1108 BLUE RIDGE ROAD,GLASGOW,24555,ROCKBRIDGE,5210,-1,-1,-79.453889,37.6388
VA,GOSHEN PUBLIC LIBRARY,1124 VIRGINIA AVE.,GOSHEN,24439,ROCKBRIDGE,5400,-1,-1,-79.478385,37.99934
VA,BOOKMOBILE,138 S. MAIN ST.,LEXINGTON,24450,ROCKBRIDGE,-3,-1,-1,-79.443481,37.783653
VA,MASSANUTTEN REGIONAL LIBRARY,174 SOUTH MAIN,HARRISONBURG,22801,ROCKINGHAM,30000,-1,-1,-78.869071,38.44751
VA,PAGE PUBLIC LIBRARY,100 ZERKEL STREET,LURAY,22835,PAGE,4900,-1,-1,-78.459006,38.66387
VA,VILLAGE LIBRARY,113 S. CENTRAL STREET,BROADWAY,22815,ROCKINGHAM,2200,-1,-1,-78.799244,38.6114
VA,BOOKMOBILE,174 SOUTH MAIN STREET,HARRISONBURG,22801,ROCKINGHAM,-3,-3,-3,-78.869071,38.447519
VA,ELKTON COMMUNITY LIBRARY,106 N. TERRACE AVENUE,ELKTON,22827,ROCKINGHAM,1200,-1,-1,-78.624219,38.40803
VA,SHENANDOAH COMMUNITY LIBRARY,418 SOUTH THIRD STREET,SHENANDOAH,22849,PAGE,2000,-1,-1,-78.615041,38.48014
VA,NORTH RIVER LIBRARY,118 MT. CRAWFORD AVENUE,BRIDGEWATER,22812,ROCKINGHAM,5000,-1,-1,-78.968794,38.38593
VA,BERGTON COMMUNITY LIBRARY,17784 CRIDERS ROAD,CRIDERS,22820,ROCKINGHAM,-3,-3,-3,-78.946025,38.76535
