CodeInd2,2010pop,state,stateCode,zipCode,StateAbbr,2010.SSrecip,fips,IRS_rtrns
C2140208,13227,Kentucky,21,40208,KY,1465,21,4688
C2140209,360,Kentucky,21,40209,KY,190,21,296
C2140210,14822,Kentucky,21,40210,KY,2915,21,5881
C2140211,22612,Kentucky,21,40211,KY,4730,21,9306
C2140212,17685,Kentucky,21,40212,KY,3710,21,6773
C2140213,16796,Kentucky,21,40213,KY,3215,21,8392
C2140214,45291,Kentucky,21,40214,KY,7645,21,21054
C2140215,22287,Kentucky,21,40215,KY,3850,21,8725
C2140216,40746,Kentucky,21,40216,KY,8790,21,19463
C2140217,12507,Kentucky,21,40217,KY,2255,21,6239
C2140218,31658,Kentucky,21,40218,KY,5130,21,14759
C2140219,38032,Kentucky,21,40219,KY,7060,21,18003
C2140220,33109,Kentucky,21,40220,KY,6380,21,16934
C2140222,21359,Kentucky,21,40222,KY,4730,21,10996
C2140223,22011,Kentucky,21,40223,KY,4070,21,11386
C2140228,15743,Kentucky,21,40228,KY,3030,21,8027
C2140229,36852,Kentucky,21,40229,KY,5995,21,16645
C2140231,0,Kentucky,21,40231,KY,,,
C2140241,28988,Kentucky,21,40241,KY,4900,21,14176
C2140242,10930,Kentucky,21,40242,KY,2025,21,5385
C2140243,10210,Kentucky,21,40243,KY,2435,21,5084
C2140245,30109,Kentucky,21,40245,KY,3535,21,13174
C2140258,26465,Kentucky,21,40258,KY,5460,21,12089
C2140272,37394,Kentucky,21,40272,KY,7790,21,16440
C2140280,303,Kentucky,21,40280,KY,,,
C2140291,35427,Kentucky,21,40291,KY,6110,21,17679
C2140299,38371,Kentucky,21,40299,KY,6365,21,18609
C2140310,526,Kentucky,21,40310,KY,280,21,
C2140311,7153,Kentucky,21,40311,KY,1710,21,2697
C2140312,5898,Kentucky,21,40312,KY,1485,21,2245
C2140313,3143,Kentucky,21,40313,KY,600,21,960
C2140316,309,Kentucky,21,40316,KY,70,21,139
C2140322,3328,Kentucky,21,40322,KY,845,21,1171
C2140324,41342,Kentucky,21,40324,KY,5670,21,17726
C2140328,1065,Kentucky,21,40328,KY,255,21,456
C2140330,19334,Kentucky,21,40330,KY,4465,21,7963
C2140334,76,Kentucky,21,40334,KY,20,21,
C2140336,13061,Kentucky,21,40336,KY,3115,21,4948
C2140337,5501,Kentucky,21,40337,KY,1175,21,1972
C2140339,46,Kentucky,21,40339,KY,40,21,
C2140342,21125,Kentucky,21,40342,KY,4040,21,9802
C2140346,686,Kentucky,21,40346,KY,225,21,284
C2140347,2767,Kentucky,21,40347,KY,570,21,1303
C2140348,600,Kentucky,21,40348,KY,210,21,
C2140350,228,Kentucky,21,40350,KY,60,21,119
C2140351,20329,Kentucky,21,40351,KY,3945,21,7326
C2140353,20779,Kentucky,21,40353,KY,4525,21,8805
C2140356,40503,Kentucky,21,40356,KY,6570,21,16784
C2140358,904,Kentucky,21,40358,KY,205,21,284
C2140359,7080,Kentucky,21,40359,KY,1560,21,2830
C2140360,6564,Kentucky,21,40360,KY,1535,21,2566
C2140361,18220,Kentucky,21,40361,KY,3620,21,7432
C2140363,22,Kentucky,21,40363,KY,95,21,
C2140370,2763,Kentucky,21,40370,KY,510,21,1238
C2140371,2838,Kentucky,21,40371,KY,750,21,984
C2140372,2128,Kentucky,21,40372,KY,485,21,1022
C2140374,1702,Kentucky,21,40374,KY,465,21,621
C2140376,52,Kentucky,21,40376,KY,35,21,
C2140379,3288,Kentucky,21,40379,KY,670,21,1405
C2140380,6612,Kentucky,21,40380,KY,1885,21,2670
C2140383,22408,Kentucky,21,40383,KY,4080,21,10361
C2140385,3131,Kentucky,21,40385,KY,805,21,1337
C2140387,2046,Kentucky,21,40387,KY,615,21,655
C2140390,7366,Kentucky,21,40390,KY,1035,21,2505
C2140391,35262,Kentucky,21,40391,KY,7350,21,14965
C2140402,2905,Kentucky,21,40402,KY,665,21,1002
C2140403,23774,Kentucky,21,40403,KY,4850,21,9802
C2140404,643,Kentucky,21,40404,KY,,,
C2140409,3843,Kentucky,21,40409,KY,925,21,1406
C2140419,4621,Kentucky,21,40419,KY,1155,21,1556
C2140422,24280,Kentucky,21,40422,KY,4910,21,9256
C2140434,34,Kentucky,21,40434,KY,100,21,
C2140437,4932,Kentucky,21,40437,KY,1045,21,1626
C2140440,2092,Kentucky,21,40440,KY,665,21,1015
C2140442,1136,Kentucky,21,40442,KY,315,21,439
C2140444,14096,Kentucky,21,40444,KY,3220,21,5495
C2140445,997,Kentucky,21,40445,KY,280,21,326
C2140447,8251,Kentucky,21,40447,KY,1710,21,2385
C2140448,53,Kentucky,21,40448,KY,65,21,
C2140456,9300,Kentucky,21,40456,KY,2245,21,3408
C2140460,1129,Kentucky,21,40460,KY,220,21,318
C2140461,3121,Kentucky,21,40461,KY,525,21,945
C2140464,1114,Kentucky,21,40464,KY,250,21,436
C2140468,1807,Kentucky,21,40468,KY,450,21,753
C2140472,1679,Kentucky,21,40472,KY,425,21,544
C2140475,55803,Kentucky,21,40475,KY,8440,21,21158
C2140481,218,Kentucky,21,40481,KY,190,21,227
C2140484,11612,Kentucky,21,40484,KY,2780,21,4897
C2140486,2223,Kentucky,21,40486,KY,540,21,761
C2140489,4109,Kentucky,21,40489,KY,945,21,1420
C2140502,25709,Kentucky,21,40502,KY,4705,21,12555
C2140503,28003,Kentucky,21,40503,KY,4695,21,13441
C2140504,25655,Kentucky,21,40504,KY,3855,21,11301
C2140505,26040,Kentucky,21,40505,KY,5425,21,11637
C2140506,2802,Kentucky,21,40506,KY,,,
C2140507,1757,Kentucky,21,40507,KY,420,21,966
C2140508,23569,Kentucky,21,40508,KY,2375,21,6808
C2140509,32364,Kentucky,21,40509,KY,3765,21,15690
C2140510,1928,Kentucky,21,40510,KY,180,21,444
C2140511,31798,Kentucky,21,40511,KY,3745,21,13640
C2140513,10994,Kentucky,21,40513,KY,1490,21,4987
C2140514,14647,Kentucky,21,40514,KY,1630,21,6908
C2140515,33595,Kentucky,21,40515,KY,3635,21,16008
C2140516,2877,Kentucky,21,40516,KY,445,21,1204
C2140517,35227,Kentucky,21,40517,KY,4605,21,16918
C2140601,49566,Kentucky,21,40601,KY,10365,21,22632
C2140604,462,Kentucky,21,40604,KY,85,21,
C2140701,29497,Kentucky,21,40701,KY,6075,21,10485
C2140729,5485,Kentucky,21,40729,KY,1520,21,2184
C2140734,3764,Kentucky,21,40734,KY,1020,21,1373
C2140737,1379,Kentucky,21,40737,KY,380,21,540
C2140740,3321,Kentucky,21,40740,KY,740,21,1184
C2140741,21875,Kentucky,21,40741,KY,4555,21,8114
C2140743,229,Kentucky,21,40743,KY,740,21,
C2140744,18334,Kentucky,21,40744,KY,3720,21,6760
C2140759,2531,Kentucky,21,40759,KY,585,21,880
C2140763,469,Kentucky,21,40763,KY,170,21,159
C2140769,18507,Kentucky,21,40769,KY,3955,21,6009
C2140771,1068,Kentucky,21,40771,KY,520,21,597
C2140801,531,Kentucky,21,40801,KY,200,21,
C2140806,2499,Kentucky,21,40806,KY,595,21,839
C2140807,337,Kentucky,21,40807,KY,185,21,
C2140808,99,Kentucky,21,40808,KY,65,21,
C2140810,1548,Kentucky,21,40810,KY,365,21,420
C2140813,669,Kentucky,21,40813,KY,210,21,277
C2140815,1534,Kentucky,21,40815,KY,400,21,452
C2140816,78,Kentucky,21,40816,KY,15,21,
C2140818,110,Kentucky,21,40818,KY,30,21,
C2140819,729,Kentucky,21,40819,KY,220,21,252
C2140820,581,Kentucky,21,40820,KY,155,21,146
C2140823,4231,Kentucky,21,40823,KY,1090,21,1226
C2140824,559,Kentucky,21,40824,KY,120,21,
C2140826,759,Kentucky,21,40826,KY,200,21,213
C2140827,674,Kentucky,21,40827,KY,185,21,186
C2140828,3965,Kentucky,21,40828,KY,980,21,1132
C2140829,172,Kentucky,21,40829,KY,235,21,
C2140830,301,Kentucky,21,40830,KY,25,21,
C2140831,5150,Kentucky,21,40831,KY,1465,21,1825
C2140840,312,Kentucky,21,40840,KY,95,21,101
C2140843,259,Kentucky,21,40843,KY,75,21,
C2140844,123,Kentucky,21,40844,KY,100,21,
C2140845,635,Kentucky,21,40845,KY,165,21,128
C2140847,261,Kentucky,21,40847,KY,175,21,
C2140849,352,Kentucky,21,40849,KY,80,21,
C2140854,1213,Kentucky,21,40854,KY,455,21,
C2140855,860,Kentucky,21,40855,KY,280,21,
C2140856,756,Kentucky,21,40856,KY,180,21,203
C2140858,397,Kentucky,21,40858,KY,60,21,
C2140862,647,Kentucky,21,40862,KY,160,21,209
C2140863,502,Kentucky,21,40863,KY,175,21,171
C2140865,410,Kentucky,21,40865,KY,115,21,159
C2140868,1100,Kentucky,21,40868,KY,315,21,318
C2140870,279,Kentucky,21,40870,KY,150,21,164
C2140873,2390,Kentucky,21,40873,KY,585,21,677
C2140874,504,Kentucky,21,40874,KY,65,21,
C2140902,1239,Kentucky,21,40902,KY,270,21,285
C2140903,681,Kentucky,21,40903,KY,305,21,343
C2140906,11132,Kentucky,21,40906,KY,2435,21,3813
C2140913,171,Kentucky,21,40913,KY,65,21,
C2140914,467,Kentucky,21,40914,KY,200,21,249
C2140915,896,Kentucky,21,40915,KY,305,21,469
C2140921,295,Kentucky,21,40921,KY,85,21,104
C2140923,735,Kentucky,21,40923,KY,210,21,297
C2140927,482,Kentucky,21,40927,KY,150,21,142
C2140935,2699,Kentucky,21,40935,KY,605,21,716
C2140939,273,Kentucky,21,40939,KY,215,21,238
C2140940,478,Kentucky,21,40940,KY,170,21,211
C2140941,251,Kentucky,21,40941,KY,280,21,
C2140943,748,Kentucky,21,40943,KY,320,21,358
C2140946,220,Kentucky,21,40946,KY,30,21,
C2140949,788,Kentucky,21,40949,KY,250,21,345
C2140953,998,Kentucky,21,40953,KY,135,21,194
C2140958,451,Kentucky,21,40958,KY,175,21,161
C2140962,19143,Kentucky,21,40962,KY,3845,21,5244
C2140964,151,Kentucky,21,40964,KY,130,21,112
C2140965,13570,Kentucky,21,40965,KY,3750,21,4845
C2140972,1327,Kentucky,21,40972,KY,420,21,452
C2140977,10362,Kentucky,21,40977,KY,2255,21,3050
C2140979,148,Kentucky,21,40979,KY,80,21,
C2140982,388,Kentucky,21,40982,KY,65,21,108
C2140983,352,Kentucky,21,40983,KY,85,21,
C2140988,555,Kentucky,21,40988,KY,155,21,171
C2140995,121,Kentucky,21,40995,KY,65,21,
C2140997,371,Kentucky,21,40997,KY,40,21,
C2141001,16412,Kentucky,21,41001,KY,2600,21,7754
C2141002,2510,Kentucky,21,41002,KY,570,21,1029
