P0010001,state,zip code tabulation area
2417,01,36908
35,01,36910
2017,01,36912
53,01,36913
627,01,36915
709,01,36916
2143,01,36919
1035,01,36921
656,01,36922
3115,01,36925
51,01,38852
17603,02,99501
24168,02,99502
14563,02,99503
40914,02,99504
6174,02,99505
7749,02,99506
37850,02,99507
35857,02,99508
353,02,99510
0,02,99513
22441,02,99515
20095,02,99516
16645,02,99517
10225,02,99518
1316,02,99519
320,02,99540
326,02,99546
61,02,99547
73,02,99548
102,02,99549
197,02,99550
627,02,99551
346,02,99552
1027,02,99553
677,02,99554
221,02,99555
2510,02,99556
726,02,99557
85,02,99558
7632,02,99559
418,02,99561
938,02,99563
91,02,99564
78,02,99565
192,02,99566
9211,02,99567
279,02,99568
64,02,99569
160,02,99571
296,02,99572
1115,02,99573
2348,02,99574
105,02,99575
2603,02,99576
25771,02,99577
296,02,99578
109,02,99579
115,02,99580
762,02,99581
35,02,99583
417,02,99585
605,02,99586
2250,02,99587
980,02,99588
243,02,99589
194,02,99590
102,02,99591
178,02,99602
9840,02,99603
1093,02,99604
211,02,99605
469,02,99606
216,02,99607
569,02,99609
2167,02,99610
15122,02,99611
938,02,99612
434,02,99613
639,02,99614
12899,02,99615
577,02,99620
723,02,99621
321,02,99622
90,02,99624
72,02,99625
282,02,99626
406,02,99627
443,02,99628
191,02,99630
228,02,99631
813,02,99632
544,02,99633
354,02,99634
510,02,99636
590,02,99637
18,02,99638
1131,02,99639
174,02,99640
496,02,99641
218,02,99643
175,02,99644
25176,02,99645
44,02,99647
113,02,99648
80,02,99649
568,02,99650
61,02,99651
3703,02,99652
159,02,99653
52168,02,99654
669,02,99655
25,02,99656
329,02,99657
616,02,99658
401,02,99659
479,02,99660
978,02,99661
480,02,99662
414,02,99663
4932,02,99664
83,02,99665
189,02,99666
65,02,99667
86,02,99668
14191,02,99669
79,02,99670
556,02,99671
3704,02,99672
1444,02,99674
1546,02,99676
88,02,99677
891,02,99678
373,02,99679
408,02,99680
325,02,99681
373,02,99682
524,02,99683
688,02,99684
4224,02,99685
4005,02,99686
2759,02,99688
662,02,99689
280,02,99690
95,02,99691
152,02,99692
248,02,99693
1512,02,99694
7,02,99695
19019,02,99701
2647,02,99702
7065,02,99703
24,02,99704
22544,02,99705
13,02,99706
29830,02,99709
13866,02,99712
1385,02,99714
208,02,99720
324,02,99721
152,02,99722
4213,02,99723
84,02,99724
30,02,99726
416,02,99727
231,02,99729
144,02,99730
10,02,99732
104,02,99733
845,02,99734
122,02,99736
5011,02,99737
187,02,99738
330,02,99739
585,02,99740
470,02,99741
681,02,99742
1069,02,99743
226,02,99744
78,02,99745
277,02,99746
239,02,99747
190,02,99748
363,02,99749
374,02,99750
151,02,99751
3553,02,99752
332,02,99753
96,02,99754
217,02,99755
119,02,99756
17,02,99757
210,02,99758
189,02,99759
785,02,99760
514,02,99761
4038,02,99762
668,02,99763
290,02,99764
264,02,99765
678,02,99766
24,02,99767
175,02,99768
671,02,99769
841,02,99770
251,02,99771
567,02,99772
262,02,99773
78,02,99774
1251,02,99775
124,02,99776
246,02,99777
254,02,99778
1535,02,99780
167,02,99781
556,02,99782
145,02,99783
190,02,99784
388,02,99785
259,02,99786
69,02,99788
402,02,99789
20,02,99790
237,02,99791
29164,02,99801
479,02,99820
2111,02,99824
120,02,99825
442,02,99826
2602,02,99827
777,02,99829
561,02,99830
104,02,99832
3202,02,99833
8880,02,99835
52,02,99836
968,02,99840
133,02,99841
13508,02,99901
31,02,99903
231,02,99918
531,02,99919
1920,02,99921
384,02,99922
87,02,99923
819,02,99925
1460,02,99926
94,02,99927
2338,02,99929
20,04,84531
280,04,84536
9369,04,85003
4965,04,85004
25742,04,85006
14040,04,85007
56145,04,85008
52520,04,85009
6390,04,85012
19314,04,85013
24782,04,85014
37644,04,85015
33896,04,85016
38872,04,85017
36065,04,85018
25042,04,85019
32850,04,85020
37743,04,85021
46395,04,85022
31274,04,85023
22898,04,85024
37140,04,85027
19157,04,85028
43233,04,85029
30493,04,85031
65485,04,85032
53037,04,85033
5582,04,85034
47486,04,85035
44771,04,85037
29352,04,85040
54947,04,85041
40962,04,85042
30560,04,85043
37993,04,85044
7238,04,85045
33449,04,85048
25736,04,85050
40375,04,85051
28480,04,85053
5384,04,85054
18104,04,85083
17517,04,85085
40495,04,85086
7708,04,85087
12246,04,85118
21219,04,85119
28168,04,85120
2178,04,85121
50942,04,85122
10677,04,85123
14823,04,85128
18017,04,85131
33556,04,85132
630,04,85135
2329,04,85137
33633,04,85138
17979,04,85139
36711,04,85140
515,04,85141
48870,04,85142
35015,04,85143
2106,04,85145
4543,04,85147
1368,04,85172
2872,04,85173
2120,04,85192
4906,04,85193
6721,04,85194
46092,04,85201
37275,04,85202
35541,04,85203
60885,04,85204
39858,04,85205
33154,04,85206
44744,04,85207
34762,04,85208
37377,04,85209
36464,04,85210
24492,04,85212
31797,04,85213
15963,04,85215
42796,04,85224
69810,04,85225
37376,04,85226
37564,04,85233
50014,04,85234
29821,04,85248
36908,04,85249
15906,04,85250
34390,04,85251
17047,04,85253
45801,04,85254
37270,04,85255
4974,04,85256
26755,04,85257
23342,04,85258
21422,04,85259
36056,04,85260
11275,04,85262
2111,04,85263
1249,04,85264
11406,04,85266
22684,04,85268
57348,04,85281
48671,04,85282
44813,04,85283
16479,04,85284
38930,04,85286
38332,04,85295
36799,04,85296
26979,04,85297
21479,04,85298
60161,04,85301
36909,04,85302
30310,04,85303
25883,04,85304
10822,04,85305
24191,04,85306
9230,04,85307
63876,04,85308
1485,04,85309
19007,04,85310
1197,04,85320
4435,04,85321
752,04,85322
39507,04,85323
2886,04,85324
1212,04,85325
51705,04,85326
259,04,85328
26960,04,85331
2146,04,85332
790,04,85333
1482,04,85334
31787,04,85335
700,04,85336
2793,04,85337
41115,04,85338
35586,04,85339
26262,04,85340
39,04,85341
1578,04,85342
196,04,85343
9147,04,85344
56208,04,85345
4423,04,85346
716,04,85347
2786,04,85348
25517,04,85349
21214,04,85350
27789,04,85351
461,04,85352
31011,04,85353
6645,04,85354
8745,04,85355
4539,04,85356
761,04,85357
222,04,85360
6700,04,85361
663,04,85362
6156,04,85363
74904,04,85364
46558,04,85365
20429,04,85367
419,04,85371
17356,04,85373
47146,04,85374
27703,04,85375
3051,04,85377
39732,04,85379
24249,04,85381
40454,04,85382
37182,04,85383
9573,04,85387
23490,04,85388
8621,04,85390
35310,04,85392
25922,04,85395
12163,04,85396
13345,04,85501
2069,04,85530
623,04,85531
2943,04,85533
2588,04,85534
21,04,85535
408,04,85536
4520,04,85539
2874,04,85540
21877,04,85541
3196,04,85542
3822,04,85543
2949,04,85544
583,04,85545
19677,04,85546
4790,04,85550
405,04,85551
6218,04,85552
1501,04,85553
778,04,85554
698,04,85601
9464,04,85602
7155,04,85603
597,04,85605
1184,04,85606
18925,04,85607
2305,04,85608
392,04,85609
1333,04,85610
965,04,85611
5601,04,85613
21895,04,85614
9413,04,85615
5566,04,85616
1277,04,85617
1725,04,85618
50,04,85619
897,04,85620
23054,04,85621
6325,04,85622
4073,04,85623
1426,04,85624
1983,04,85625
1021,04,85626
968,04,85627
23568,04,85629
2819,04,85630
3630,04,85631
835,04,85632
54,04,85633
6490,04,85634
34727,04,85635
1268,04,85637
1973,04,85638
441,04,85640
21753,04,85641
9810,04,85643
2231,04,85645
1311,04,85646
19080,04,85648
15279,04,85650
15083,04,85653
97,04,85654
7790,04,85658
4983,04,85701
30929,04,85704
57521,04,85705
55209,04,85706
658,04,85707
2980,04,85708
54439,04,85710
41251,04,85711
32666,04,85712
50151,04,85713
15009,04,85714
17702,04,85715
32853,04,85716
27367,04,85718
43989,04,85719
0,04,85723
0,04,85724
0,04,85726
38323,04,85730
11250,04,85735
4975,04,85736
20727,04,85737
17848,04,85739
32998,04,85741
25212,04,85742
29144,04,85743
37006,04,85745
43057,04,85746
23058,04,85747
18087,04,85748
19032,04,85749
24161,04,85750
15107,04,85755
35703,04,85756
16988,04,85757
17207,04,85901
1800,04,85911
178,04,85912
464,04,85920
41,04,85922
621,04,85923
2683,04,85924
4893,04,85925
265,04,85926
176,04,85927
1102,04,85928
8322,04,85929
1086,04,85930
207,04,85931
364,04,85932
3033,04,85933
574,04,85934
4735,04,85935
4293,04,85936
7638,04,85937
2366,04,85938
4400,04,85939
1443,04,85940
9941,04,85941
80,04,85942
40776,04,86001
23,04,86003
37338,04,86004
6362,04,86011
385,04,86015
62,04,86016
667,04,86017
759,04,86018
1941,04,86020
6085,04,86021
2210,04,86022
2627,04,86023
703,04,86024
5676,04,86025
47,04,86028
320,04,86029
1374,04,86030
1856,04,86031
1509,04,86032
7844,04,86033
2271,04,86034
1802,04,86035
388,04,86036
77,04,86038
1467,04,86039
10283,04,86040
1778,04,86042
1798,04,86043
3825,04,86044
11354,04,86045
6090,04,86046
14970,04,86047
28,04,86052
2311,04,86053
1935,04,86054
20626,04,86301
17082,04,86303
17356,04,86305
257,04,86313
34401,04,86314
7234,04,86315
1885,04,86320
2219,04,86321
11480,04,86322
15822,04,86323
4168,04,86324
5152,04,86325
23344,04,86326
8858,04,86327
1179,04,86329
477,04,86331
1637,04,86332
5734,04,86333
4985,04,86334
4806,04,86335
11320,04,86336
1267,04,86337
743,04,86338
177,04,86343
6349,04,86351
24289,04,86401
15802,04,86403
16243,04,86404
23763,04,86406
26471,04,86409
224,04,86411
12103,04,86413
13863,04,86426
7162,04,86429
403,04,86431
3933,04,86432
111,04,86433
1490,04,86434
487,04,86435
2104,04,86436
76,04,86437
913,04,86438
6906,04,86440
2224,04,86441
33382,04,86442
76,04,86443
1289,04,86444
311,04,86445
1464,04,86502
10714,04,86503
5835,04,86504
7682,04,86505
1321,04,86506
2340,04,86507
752,04,86508
5358,04,86510
3694,04,86511
2439,04,86512
3011,04,86514
2894,04,86515
1793,04,86520
1199,04,86535
2338,04,86538
1088,04,86540
1267,04,86544
1650,04,86545
1171,04,86547
2090,04,86556
185,04,87328
2,05,38769
36,05,65729
217,05,65733
93,05,65761
17327,05,71601
17982,05,71602
34343,05,71603
405,05,71630
673,05,71631
12348,05,71635
3794,05,71638
6579,05,71639
3227,05,71640
648,05,71642
1109,05,71643
4264,05,71644
6756,05,71646
2111,05,71647
150,05,71651
1159,05,71652
5152,05,71653
4671,05,71654
15387,05,71655
728,05,71658
104,05,71659
963,05,71660
450,05,71661
82,05,71662
732,05,71663
6054,05,71665
79,05,71666
8267,05,71667
1403,05,71670
8665,05,71671
738,05,71674
1824,05,71675
684,05,71676
185,05,71677
20286,05,71701
106,05,71711
2498,05,71720
87,05,71722
431,05,71724
555,05,71725
1435,05,71726
32213,05,71730
1735,05,71740
5980,05,71742
4090,05,71743
3224,05,71744
264,05,71745
1097,05,71747
2115,05,71749
939,05,71751
1052,05,71752
16848,05,71753
450,05,71758
600,05,71759
2501,05,71762
1666,05,71763
1880,05,71764
2156,05,71765
670,05,71766
3526,05,71770
34,05,71772
16745,05,71801
103,05,71820
8925,05,71822
83,05,71823
645,05,71825
1315,05,71826
817,05,71827
11253,05,71832
2280,05,71833
1491,05,71834
1334,05,71835
2856,05,71836
5227,05,71837
1148,05,71838
280,05,71839
913,05,71841
2241,05,71842
2387,05,71845
2652,05,71846
673,05,71847
2241,05,71851
10102,05,71852
365,05,71853
36438,05,71854
708,05,71855
5894,05,71857
1710,05,71858
477,05,71859
2633,05,71860
2258,05,71861
771,05,71862
194,05,71865
725,05,71866
29491,05,71901
15508,05,71909
43436,05,71913
3652,05,71921
129,05,71922
15637,05,71923
4487,05,71929
1616,05,71933
808,05,71935
2026,05,71937
1652,05,71940
2098,05,71941
4821,05,71943
773,05,71944
1437,05,71945
1989,05,71949
875,05,71950
145,05,71952
14882,05,71953
1882,05,71956
3133,05,71957
2525,05,71958
754,05,71959
1383,05,71960
1003,05,71961
792,05,71962
3926,05,71964
315,05,71965
4717,05,71968
376,05,71969
792,05,71970
513,05,71971
309,05,71972
1424,05,71973
321,05,71998
706,05,71999
566,05,72001
14134,05,72002
746,05,72003
1311,05,72004
248,05,72005
2603,05,72006
6708,05,72007
6577,05,72010
4074,05,72011
11986,05,72012
2197,05,72013
60,05,72014
27307,05,72015
3268,05,72016
726,05,72017
23346,05,72019
4295,05,72020
4348,05,72021
14270,05,72022
35026,05,72023
3777,05,72024
847,05,72025
393,05,72026
1417,05,72027
1912,05,72029
705,05,72030
7683,05,72031
31436,05,72032
44723,05,72034
1083,05,72035
817,05,72036
28,05,72037
74,05,72038
2131,05,72039
2867,05,72040
1457,05,72041
5161,05,72042
881,05,72044
1151,05,72045
4470,05,72046
969,05,72047
114,05,72048
622,05,72051
849,05,72055
1070,05,72057
15911,05,72058
37,05,72059
666,05,72060
250,05,72061
1683,05,72063
2451,05,72064
5207,05,72065
2726,05,72067
424,05,72068
1369,05,72069
1813,05,72070
544,05,72072
1139,05,72073
167,05,72074
37979,05,72076
786,05,72079
662,05,72080
7798,05,72081
1935,05,72082
237,05,72083
1229,05,72084
