zipcode,state,actual_med_income,predicted_med_income,residual,abs_residual
2833,44,64554,68283.34201,-3729.342007,3729.342007
2835,44,90484,92801.75,-2317.75,2317.75
2837,44,85852,86257.43155,-405.4315545,405.4315545
2838,44,47323,52754.76619,-5431.766187,5431.766187
2839,44,73750,59253.44216,14496.55784,14496.55784
2840,44,60751,66747.21833,-5996.218329,5996.218329
2842,44,69495,66747.21833,2747.781671,2747.781671
2852,44,77049,81702.10886,-4653.108861,4653.108861
2858,44,92500,72575.51374,19924.48626,19924.48626
2859,44,58828,68283.34201,-9455.342007,9455.342007
2860,44,32614,41685.6773,-9071.677298,9071.677298
2861,44,54184,52754.76619,1429.233813,1429.233813
2863,44,27993,35005.08299,-7012.082988,7012.082988
2864,44,72416,81702.10886,-9286.108861,9286.108861
2865,44,78429,81702.10886,-3273.108861,3273.108861
2871,44,74494,86257.43155,-11763.43155,11763.43155
2873,44,72273,67119.72857,5153.271429,5153.271429
2874,44,109375,107168.6996,2206.300429,2206.300429
2875,44,80438,67119.72857,13318.27143,13318.27143
2876,44,58438,52754.76619,5683.233813,5683.233813
2878,44,73085,72575.51374,509.4862637,509.4862637
2879,44,75692,81702.10886,-6010.108861,6010.108861
2881,44,80844,72575.51374,8268.486264,8268.486264
2882,44,64852,72575.51374,-7723.513736,7723.513736
2885,44,54295,52754.76619,1540.233813,1540.233813
2886,44,61682,68283.34201,-6601.342007,6601.342007
2889,44,64006,68283.34201,-4277.342007,4277.342007
2891,44,60394,59253.44216,1140.557836,1140.557836
2894,44,83417,67119.72857,16297.27143,16297.27143
2895,44,36058,35005.08299,1052.917012,1052.917012
2898,44,92708,81702.10886,11005.89114,11005.89114
2903,44,26173,41685.6773,-15512.6773,15512.6773
2904,44,41649,52754.76619,-11105.76619,11105.76619
2905,44,41332,41685.6773,-353.6772983,353.6772983
2906,44,65531,86257.43155,-20726.43155,20726.43155
2907,44,28819,41685.6773,-12866.6773,12866.6773
2908,44,42640,41685.6773,954.3227017,954.3227017
2909,44,32036,26492.03006,5543.96994,5543.96994
2910,44,55893,52754.76619,3138.233813,3138.233813
2911,44,51288,52754.76619,-1466.766187,1466.766187
2915,44,51928,52754.76619,-826.7661871,826.7661871
2916,44,63480,72575.51374,-9095.513736,9095.513736
2917,44,72983,81702.10886,-8719.108861,8719.108861
2920,44,53675,52754.76619,920.2338129,920.2338129
2921,44,98458,107168.6996,-8710.699571,8710.699571
3033,33,105255,74586.77778,30668.22222,30668.22222
