zip,com_elecrate,ind_elecrate,res_elecrate
2859,14.861,14.36,15.265
2860,14.861,14.36,15.265
2861,14.861,14.36,15.265
2863,14.861,14.36,15.265
2864,14.861,14.36,15.265
2865,13.693,12.763,15.098
2871,13.693,12.763,15.098
2873,13.693,12.763,15.098
2874,13.693,12.763,15.098
2875,13.693,12.763,15.098
2876,13.693,12.763,15.098
2877,13.693,12.763,15.098
2878,14.861,14.36,15.265
2879,13.693,12.763,15.098
2881,13.693,12.763,15.098
2882,13.693,12.763,15.098
2885,14.861,14.36,15.265
2886,13.693,12.763,15.098
2888,13.693,12.763,15.098
2889,13.693,12.763,15.098
2891,14.2555,12.5875,16.292
2892,13.693,12.763,15.098
2893,13.693,12.763,15.098
2894,13.693,12.763,15.098
2895,14.861,14.36,15.265
2896,14.861,14.36,15.265
2898,13.693,12.763,15.098
2903,13.693,12.763,15.098
2904,13.693,12.763,15.098
2905,13.693,12.763,15.098
2906,13.693,12.763,15.098
2907,13.693,12.763,15.098
2908,13.693,12.763,15.098
2909,13.693,12.763,15.098
2910,13.693,12.763,15.098
2911,13.693,12.763,15.098
2912,13.693,12.763,15.098
2914,14.861,14.36,15.265
2915,14.861,14.36,15.265
2916,14.861,14.36,15.265
2917,13.693,12.763,15.098
2919,13.693,12.763,15.098
2920,13.693,12.763,15.098
2921,13.693,12.763,15.098
3031,13.675,12.888,15.142
3032,12.143,11.65,13.836
3033,13.675,12.888,15.142
3034,13.675,12.888,15.142
3036,12.143,11.65,13.836
3037,13.675,12.888,15.142
3038,12.143,11.65,13.836
3042,13.675,12.888,15.142
3043,13.675,12.888,15.142
3044,13.675,12.888,15.142
3045,13.675,12.888,15.142
3046,13.675,12.888,15.142
3047,13.675,12.888,15.142
3048,16.3435,15.2805,17.0095
3049,14.852,14.4225,15.287
3051,12.143,11.65,13.836
3052,13.675,12.888,15.142
3053,12.143,11.65,13.836
3054,13.675,12.888,15.142
3055,13.675,12.888,15.142
3057,13.675,12.888,15.142
3060,13.675,12.888,15.142
3062,13.675,12.888,15.142
3063,13.675,12.888,15.142
3064,13.675,12.888,15.142
3070,13.675,12.888,15.142
3071,13.675,12.888,15.142
3076,13.43833333,13.08566667,14.368
3077,13.675,12.888,15.142
3079,13.43833333,13.08566667,14.368
3082,13.675,12.888,15.142
3084,13.675,12.888,15.142
3086,13.675,12.888,15.142
3087,12.143,11.65,13.836
3101,13.675,12.888,15.142
3102,13.675,12.888,15.142
3103,13.675,12.888,15.142
3104,13.675,12.888,15.142
3106,13.675,12.888,15.142
3109,13.675,12.888,15.142
3110,13.675,12.888,15.142
3215,13.675,12.888,15.142
3216,13.675,12.888,15.142
3217,13.675,12.888,15.142
3218,13.675,12.888,15.142
3220,13.675,12.888,15.142
3221,13.675,12.888,15.142
3222,13.675,12.888,15.142
3223,13.675,12.888,15.142
3224,13.675,12.888,15.142
3225,13.675,12.888,15.142
3227,13.675,12.888,15.142
3229,13.675,12.888,15.142
3230,13.675,12.888,15.142
3233,13.675,12.888,15.142
3234,13.675,12.888,15.142
3235,13.675,12.888,15.142
3237,13.675,12.888,15.142
3240,12.143,11.65,13.836
3241,13.675,12.888,15.142
3242,13.675,12.888,15.142
3243,13.675,12.888,15.142
3244,13.675,12.888,15.142
3246,13.675,12.888,15.142
3249,13.675,12.888,15.142
3251,13.675,12.888,15.142
3253,13.675,12.888,15.142
3255,12.143,11.65,13.836
3256,13.675,12.888,15.142
3257,13.675,12.888,15.142
3258,13.675,12.888,15.142
3259,13.675,12.888,15.142
3260,13.675,12.888,15.142
3261,13.675,12.888,15.142
3263,13.675,12.888,15.142
3264,13.675,12.888,15.142
3268,13.675,12.888,15.142
3269,13.675,12.888,15.142
3275,13.675,12.888,15.142
3276,13.675,12.888,15.142
3278,13.675,12.888,15.142
3280,13.675,12.888,15.142
3281,13.675,12.888,15.142
3284,13.675,12.888,15.142
3285,13.675,12.888,15.142
3287,13.675,12.888,15.142
3290,13.675,12.888,15.142
3291,13.675,12.888,15.142
3301,13.675,12.888,15.142
3303,13.675,12.888,15.142
3304,13.675,12.888,15.142
3307,13.675,12.888,15.142
3431,12.143,11.65,13.836
3435,13.675,12.888,15.142
3440,13.675,12.888,15.142
3441,13.675,12.888,15.142
3442,13.675,12.888,15.142
3443,13.675,12.888,15.142
3444,13.675,12.888,15.142
3445,13.675,12.888,15.142
3446,13.675,12.888,15.142
3447,13.675,12.888,15.142
3448,12.143,11.65,13.836
3449,13.675,12.888,15.142
3450,13.675,12.888,15.142
3451,12.131,9.535333333,13.792
3452,13.675,12.888,15.142
3455,13.675,12.888,15.142
3456,12.143,11.65,13.836
3457,13.675,12.888,15.142
3458,13.675,12.888,15.142
3461,13.675,12.888,15.142
3462,13.675,12.888,15.142
3464,12.143,11.65,13.836
3465,13.675,12.888,15.142
3466,12.131,9.535333333,13.792
3467,11.74833333,10.291,13.64266667
3470,14.852,14.4225,15.287
3561,11.751,9.7545,13.4765
3570,13.675,12.888,15.142
3574,13.675,12.888,15.142
3575,13.675,12.888,15.142
3576,13.675,12.888,15.142
3579,13.319,6.444,14.8
3580,13.675,12.888,15.142
3581,13.319,6.444,14.8
3582,13.675,12.888,15.142
3583,13.675,12.888,15.142
3584,12.717,10.5165,14.06
3585,12.143,11.65,13.836
3586,13.675,12.888,15.142
3588,13.319,6.444,14.8
3590,13.675,12.888,15.142
3592,13.675,12.888,15.142
3593,13.675,12.888,15.142
3595,13.675,12.888,15.142
3598,12.717,10.5165,14.06
3601,10.611,10.412,12.53
3602,12.143,11.65,13.836
3603,11.751,9.7545,13.4765
3605,12.143,11.65,13.836
3607,10.611,10.412,12.53
3608,11.74833333,10.291,13.64266667
3609,10.785,8.9925,12.893
3740,12.143,11.65,13.836
3741,10.611,10.412,12.53
3743,12.015,10.48166667,13.55
3745,12.717,10.5165,14.06
3748,12.143,11.65,13.836
3750,10.611,10.412,12.53
3752,12.143,11.65,13.836
3753,12.143,11.65,13.836
3755,11.74833333,10.291,13.64266667
3765,12.717,10.5165,14.06
3766,10.611,10.412,12.53
3768,12.015,10.48166667,13.55
3770,13.675,12.888,15.142
3771,11.751,9.7545,13.4765
3773,12.143,11.65,13.836
3774,12.015,10.48166667,13.55
3777,12.717,10.5165,14.06
3779,12.717,10.5165,14.06
3780,13.675,12.888,15.142
3781,11.751,9.7545,13.4765
3782,13.675,12.888,15.142
3784,10.785,8.9925,12.893
3785,11.751,9.7545,13.4765
3801,13.319,6.444,14.8
3803,13.675,12.888,15.142
3809,13.675,12.888,15.142
3811,13.43833333,13.08566667,14.368
3812,13.675,12.888,15.142
3813,13.319,6.444,14.8
3814,13.675,12.888,15.142
3815,13.675,12.888,15.142
3816,13.675,12.888,15.142
3817,13.675,12.888,15.142
3818,13.675,12.888,15.142
3819,13.675,12.888,15.142
3820,13.675,12.888,15.142
3823,13.675,12.888,15.142
3824,13.675,12.888,15.142
3825,13.675,12.888,15.142
3826,13.675,12.888,15.142
3827,16.029,15.957,15.432
3830,13.319,6.444,14.8
3832,13.675,12.888,15.142
3833,13.675,12.888,15.142
3835,13.675,12.888,15.142
3836,13.319,6.444,14.8
