zip_code,store_count
76205,1
27705,1
27707,1
48642,1
89014,1
77354,1
95219,1
92243,1
95212,1
95965,1
92530,1
79606,1
72653,1
94583,1
94588,1
78130,1
33073,1
65065,1
07302,1
92336,1
32807,1
12451,1
89120,1
89123,1
32809,1
48843,1
11354,1
92620,1
92626,1
22030,2
22031,1
01867,1
65202,1
75056,1
19342,1
06010,1
72501,1
77008,1
97123,1
10994,1
02062,1
16001,1
06492,1
93117,1
55318,1
60490,1
60491,1
21133,1
64137,1
17601,1
02322,1
32068,1
02324,1
19901,1
42001,1
56201,1
97058,1
43026,1
98052,1
46219,1
53186,1
20716,1
32114,1
04103,1
60073,1
49080,1
60074,1
12110,1
85283,1
85284,1
85286,1
93727,1
45324,1
27949,1
02780,1
75088,1
75087,1
75080,1
75243,1
84003,1
97470,1
80016,1
12205,2
45255,1
48334,1
80012,1
45251,1
80011,1
85716,1
48116,1
85714,1
70360,1
63139,1
85710,1
48446,1
96707,1
62305,1
21401,2
95742,1
54501,1
90056,1
78258,1
02472,1
90723,1
33426,1
78251,1
33881,1
14219,1
86409,1
48066,1
81212,1
94577,1
30512,1
30513,1
30518,1
99701,1
62234,1
01095,1
37216,1
07047,1
40207,1
78745,1
78744,1
50266,1
33950,1
03784,1
30286,1
15102,1
95351,2
15101,1
77904,1
28403,1
29910,1
02725,1
34986,1
30606,1
92831,1
12590,1
19446,1
37312,1
11003,1
74145,1
55121,1
44906,1
55124,1
55125,1
92504,1
02816,1
28083,1
23061,1
35124,1
94591,1
29621,1
66223,1
66046,1
93612,1
66048,1
73112,1
30328,1
07310,1
43230,1
48858,1
19116,1
82001,1
93215,1
74055,1
75503,1
19335,1
92337,1
77015,1
82718,1
15235,1
32904,1
32907,1
19020,2
32055,1
15237,2
17349,1
11355,1
43017,1
38305,1
98233,1
22312,1
93561,1
98042,1
97060,1
60707,1
60047,1
64012,1
64014,1
60041,1
20876,1
20877,1
85383,1
20706,1
19802,1
32127,1
42301,1
98134,1
43160,1
98133,2
60620,1
75098,1
39819,1
68137,1
68134,1
75092,1
75093,1
60443,1
84014,1
85018,1
45240,1
36801,1
80021,1
80020,1
90606,1
03801,1
80537,1
20906,1
48101,1
20904,1
44118,1
53222,1
44111,1
44116,1
19610,1
94601,1
37355,1
18964,1
37421,1
78249,2
13090,1
90040,1
12304,1
11901,1
33434,1
85122,1
34207,1
36117,2
84701,1
30161,1
33545,1
48076,1
90638,1
48071,1
29720,1
78028,1
29582,1
95648,1
01085,1
37221,1
36609,1
78759,1
40219,1
07036,1
30701,1
78753,1
79707,1
28412,1
95341,1
15137,1
33948,1
94901,1
31768,1
17970,1
34994,1
45504,1
30360,1
30014,1
30013,1
72211,1
77338,1
59404,1
30019,1
35064,1
48917,1
89032,1
76086,1
50320,1
50322,1
06810,1
29650,1
91731,1
91730,1
85737,1
92284,1
43228,1
43229,1
89104,1
89103,1
23230,1
34606,1
07495,1
23236,1
44805,1
48867,1
48864,1
35801,1
35803,1
32609,1
32607,1
77068,1
23834,1
23831,1
77063,1
77065,1
02048,1
07764,1
27105,1
27103,1
98632,1
64801,1
35244,1
35242,1
39042,1
19033,1
19030,1
75402,1
98383,1
98382,1
08701,1
02302,1
02852,1
37027,1
11791,1
93552,1
93551,1
27216,1
93555,1
60051,1
93955,1
60056,1
63136,1
00682,1
32137,1
25504,1
75460,1
80634,1
64154,1
64158,1
85260,1
20601,1
53090,1
33157,1
17402,1
75229,1
90631,1
90630,1
60453,1
03878,1
46237,1
53940,1
03874,1
80524,1
80525,1
10532,1
53546,1
33713,1
33710,1
63501,1
49441,1
48661,1
20110,1
78232,1
78239,1
37343,1
18976,1
90703,1
44212,1
33156,1
33403,1
02451,1
33401,1
54303,1
54650,1
03301,1
27587,1
39601,1
30577,1
84601,1
44109,1
34293,1
07027,1
15122,1
76033,1
54016,1
14304,1
38019,1
99611,1
38017,1
33573,1
78163,1
