zip_code,latitude,longitude
39870,31.266519,-84.429677
54482,44.530236,-89.493118
39877,31.912120,-84.507955
97471,43.217733,-123.579417
89441,39.679595,-119.675218
62711,39.750966,-89.722618
62712,39.725430,-89.570092
85209,33.376145,-111.634330
95811,38.583952,-121.491028
89161,36.048718,-115.391162
60503,41.714088,-88.262989
95391,37.759412,-121.599020
03823,43.168910,-70.930946
60491,41.599132,-87.965146
85172,32.936270,-111.928402
50023,41.728558,-93.638369
33596,27.886544,-82.230442
97089,45.421672,-122.439902
85388,33.609725,-112.439734
10075,40.773550,-73.955621
18302,41.081988,-75.099606
80951,38.888807,-104.654172
34269,27.111662,-81.981288
48638,43.414825,-84.021468
84096,40.489182,-112.050722
97086,45.443206,-122.532454
84045,40.346595,-111.914564
60169,42.047016,-88.119926
39885,31.718000,-84.369000
06042,41.800260,-72.527573
85145,32.579336,-111.328803
39886,31.730028,-84.608443
84005,40.321532,-112.004986
85142,33.191536,-111.621333
85141,32.714283,-111.497432
85140,33.245483,-111.530217
89169,36.122534,-115.143863
95757,38.341726,-121.433934
93314,35.404306,-119.237126
03586,44.220070,-71.801762
30536,34.656876,-84.347972
28759,35.373951,-82.597920
89508,39.801066,-119.887482
