Black,Multiple,Population,White,Total_Race_Count,Other,Native_Hawaiian_Other_Pacific,Asian,American_Indian_and_Alaskan_Native,state,zip code tabulation area
688,132,10087,9172,10087,21,0,22,52,01,35960
273,148,6514,4773,6514,1157,55,16,92,01,35961
38,178,8300,6319,8300,1628,20,8,109,01,35962
1,49,1704,1488,1704,102,0,2,62,01,35963
3,128,3914,3713,3914,13,0,5,52,01,35966
603,416,16630,13338,16630,1986,26,113,148,01,35967
47,72,4575,4251,4575,141,10,12,42,01,35968
32,133,4914,4586,4914,69,3,9,82,01,35971
3,17,1139,1104,1139,9,0,1,5,01,35972
11,36,2870,2803,2870,8,0,2,10,01,35973
3,33,1589,1453,1589,44,0,0,56,01,35974
0,25,1058,966,1058,9,0,2,56,01,35975
715,244,16272,14646,16272,392,1,157,117,01,35976
3,119,5390,5125,5390,34,2,7,100,01,35978
3,29,1398,1335,1398,7,0,1,23,01,35979
43,75,5161,4376,5161,597,16,6,48,01,35980
4,44,2141,2051,2141,3,0,1,38,01,35981
119,54,3738,3518,3738,19,1,5,22,01,35983
7,34,1889,1828,1889,6,0,2,12,01,35984
21,108,7744,7264,7744,247,7,11,86,01,35986
17,55,2666,2512,2666,71,1,3,7,01,35987
10,69,1940,1697,1940,138,4,4,18,01,35988
17,82,3573,3099,3573,345,0,4,26,01,35989
0,0,38,36,38,2,0,0,0,01,35990
1202,16,1975,734,1975,20,0,0,3,01,36003
396,16,1522,1096,1522,1,0,7,6,01,36005
125,14,1313,1149,1313,17,0,3,5,01,36006
463,34,2566,2014,2566,26,0,11,18,01,36009
1887,55,4677,2597,4677,64,0,20,54,01,36010
150,11,562,386,562,7,1,7,0,01,36013
2878,19,5150,2196,5150,38,0,9,10,01,36016
1429,47,3318,1390,3318,430,8,8,6,01,36017
430,6,1123,669,1123,12,0,1,5,01,36020
1331,206,13092,11401,13092,55,6,57,36,01,36022
556,69,5428,4750,5428,9,5,15,24,01,36024
2397,66,5729,3144,5729,101,0,12,9,01,36025
115,5,1089,968,1089,0,0,0,1,01,36026
7201,159,16261,8330,16261,375,21,88,87,01,36027
204,35,1746,1496,1746,1,0,2,8,01,36028
368,7,723,348,723,0,0,0,0,01,36029
292,2,491,193,491,1,0,3,0,01,36030
140,0,156,16,156,0,0,0,0,01,36031
1634,16,2339,679,2339,4,0,4,2,01,36032
1747,32,4299,2500,4299,3,2,6,9,01,36033
143,17,807,623,807,0,0,0,24,01,36034
402,26,1913,1460,1913,7,0,6,12,01,36035
929,34,2003,1035,2003,2,0,2,1,01,36036
6582,80,14074,7155,14074,44,5,164,44,01,36037
20,0,57,37,57,0,0,0,0,01,36038
221,2,253,30,253,0,0,0,0,01,36039
3579,10,3976,376,3976,7,0,4,0,01,36040
201,17,1318,1087,1318,7,0,1,5,01,36041
126,16,1500,1349,1500,1,0,0,8,01,36042
1418,21,3666,2039,3666,132,1,19,36,01,36043
425,16,1490,1043,1490,3,0,3,0,01,36046
986,4,1396,400,1396,2,0,2,2,01,36047
781,16,1459,621,1459,37,0,0,4,01,36048
1281,87,5706,4094,5706,48,8,164,24,01,36049
397,38,2304,1833,2304,24,0,3,9,01,36051
197,3,739,534,739,0,0,4,1,01,36052
1612,16,1967,325,1967,7,0,1,6,01,36053
3400,292,15066,10874,15066,314,15,107,64,01,36054
1874,59,6753,4608,6753,53,2,145,12,01,36064
2339,340,19089,15706,19089,199,19,410,76,01,36066
5490,423,26954,20542,26954,253,14,96,136,01,36067
778,43,1935,1087,1935,6,1,4,16,01,36069
267,10,766,476,766,6,0,5,2,01,36071
1651,14,2226,550,2226,4,0,7,0,01,36075
3017,158,13179,9747,13179,143,22,59,33,01,36078
2397,160,9339,6554,9339,75,2,108,43,01,36079
179,17,2271,2066,2271,2,0,7,0,01,36080
6604,220,15267,7655,15267,204,21,467,96,01,36081
690,34,1667,877,1667,2,1,55,8,01,36082
8619,98,9563,769,9563,41,1,17,18,01,36083
4560,75,4767,77,4767,9,0,44,2,01,36088
6317,59,8760,1745,8760,564,43,19,13,01,36089
379,43,3648,3038,3648,132,27,4,25,01,36091
4535,296,20274,14979,20274,242,11,126,85,01,36092
982,121,9456,8142,9456,60,9,101,41,01,36093
7759,72,9468,1565,9468,26,1,31,14,01,36104
10401,75,12043,1442,12043,56,23,16,30,01,36105
5975,213,15211,8549,15211,157,3,284,30,01,36106
4042,165,9589,3995,9589,1273,10,59,45,01,36107
17781,242,21306,2800,21306,402,18,20,43,01,36108
4436,343,24777,19251,24777,368,6,298,75,01,36109
8977,186,12997,3471,12997,149,12,159,43,01,36110
6954,84,12176,4918,12176,132,1,69,18,01,36111
205,0,553,343,553,2,0,3,0,01,36112
740,62,1902,1049,1902,13,7,30,1,01,36113
167,51,623,372,623,18,0,12,3,01,36115
32662,504,43790,7788,43790,1582,65,1080,109,01,36116
20765,747,50268,25663,50268,367,20,2582,124,01,36117
9218,304,20156,10323,20156,184,6,42,79,01,36201
2562,265,18799,14779,18799,901,7,208,77,01,36203
167,25,635,429,635,1,0,10,3,01,36205
2698,269,11427,8100,11427,183,10,109,58,01,36206
4289,276,19801,14568,19801,349,5,249,65,01,36207
322,45,4603,4162,4603,20,12,21,21,01,36250
632,82,5103,4252,5103,98,0,18,21,01,36251
1,12,969,947,969,3,0,0,6,01,36255
204,9,1570,1347,1570,5,0,2,3,01,36256
45,28,1599,1487,1599,21,0,1,17,01,36258
607,79,4247,3470,4247,51,1,14,25,01,36260
1,21,1448,1411,1448,7,0,1,7,01,36262
76,5,658,565,658,11,0,1,0,01,36263
523,104,8659,7842,8659,135,9,16,30,01,36264
3804,353,21060,16399,21060,147,29,212,116,01,36265
1067,120,5582,4301,5582,72,0,5,17,01,36266
14,0,35,21,35,0,0,0,0,01,36267
1098,77,5432,4224,5432,10,2,6,15,01,36268
7,19,1395,1362,1395,2,0,2,3,01,36269
255,97,6023,5588,6023,28,12,6,37,01,36271
704,220,13389,12325,13389,52,4,22,62,01,36272
5,15,2914,2873,2914,9,1,3,8,01,36273
3148,99,11199,7842,11199,36,2,37,35,01,36274
592,38,2592,1882,2592,73,1,0,6,01,36276
657,125,5420,4520,5420,30,10,46,32,01,36277
812,46,4366,3337,4366,141,1,11,18,01,36278
77,59,2645,2488,2645,6,0,8,7,01,36279
223,53,3932,3554,3932,83,1,6,12,01,36280
9808,650,35759,24328,35759,589,17,205,162,01,36301
12201,534,30217,16703,30217,354,18,303,104,01,36303
1262,234,14470,12549,14470,128,10,256,31,01,36305
2266,65,6783,4314,6783,87,1,28,22,01,36310
354,48,2770,2321,2770,19,1,9,18,01,36311
752,55,6187,5319,6187,20,3,11,27,01,36312
83,9,285,168,285,9,0,5,11,01,36313
16,4,595,563,595,8,0,2,2,01,36314
137,23,1722,1538,1722,7,3,6,8,01,36316
279,3,590,306,590,1,0,0,1,01,36317
42,24,1296,1218,1296,3,0,1,8,01,36318
312,27,2276,1916,2276,8,2,2,9,01,36319
490,57,3837,3240,3837,13,0,5,32,01,36320
186,44,1632,1381,1632,6,0,2,13,01,36321
1686,364,9072,6501,9072,244,17,168,92,01,36322
1877,160,8255,5996,8255,57,6,18,141,01,36323
6330,1044,35530,25379,35530,1763,97,667,250,01,36330
678,81,5490,4657,5490,33,1,21,19,01,36340
564,15,1579,975,1579,10,0,1,14,01,36343
551,99,5732,4976,5732,62,1,7,36,01,36344
1800,81,7822,5816,7822,77,0,21,27,01,36345
13,40,1456,1366,1456,2,0,0,35,01,36346
1089,198,6540,5076,6540,82,1,60,34,01,36350
305,68,3146,2613,3146,17,0,24,119,01,36351
271,132,4885,4342,4885,57,3,23,57,01,36352
411,27,1968,1475,1968,43,0,8,4,01,36353
5173,458,20157,14071,20157,145,6,159,145,01,36360
553,225,4637,3604,4637,144,11,62,38,01,36362
101,16,972,849,972,2,0,0,4,01,36370
83,12,720,607,720,7,0,3,8,01,36371
243,5,581,330,581,2,1,0,0,01,36373
83,7,970,870,970,4,0,1,5,01,36374
718,114,7390,6353,7390,147,0,10,48,01,36375
497,36,2445,1816,2445,77,1,4,14,01,36376
4534,64,8314,3599,8314,80,0,11,26,01,36401
1807,168,10673,8509,10673,52,0,79,58,01,36420
938,124,9241,8065,9241,28,0,38,48,01,36421
821,3,1008,177,1008,0,0,2,5,01,36425
4061,206,16202,11577,16202,169,4,51,134,01,36426
781,25,2420,1596,2420,9,1,1,7,01,36432
489,2,579,88,579,0,0,0,0,01,36435
217,0,531,314,531,0,0,0,0,01,36436
25,10,583,538,583,0,0,0,10,01,36439
452,46,3576,2977,3576,25,1,7,68,01,36441
363,69,3555,3077,3555,15,1,12,18,01,36442
228,5,702,464,702,0,0,0,5,01,36444
1323,94,5050,3522,5050,24,5,11,71,01,36445
122,8,490,354,490,4,0,2,0,01,36446
1644,31,4977,3259,4977,10,0,6,27,01,36451
26,41,2198,2041,2198,7,0,4,79,01,36453
0,0,51,51,51,0,0,0,0,01,36454
110,6,465,345,465,3,0,0,1,01,36455
382,42,1820,1383,1820,6,0,3,4,01,36456
4947,151,10738,5498,10738,34,4,48,56,01,36460
1199,130,10058,8596,10058,28,0,22,83,01,36467
47,10,98,38,98,0,0,1,2,01,36470
859,9,1257,383,1257,1,0,0,5,01,36471
3,0,106,103,106,0,0,0,0,01,36473
297,30,2926,2575,2926,8,0,6,10,01,36474
824,40,2208,1331,2208,3,0,2,8,01,36475
27,0,51,24,51,0,0,0,0,01,36476
468,81,4946,4160,4946,137,3,19,78,01,36477
206,41,1773,1421,1773,1,0,3,101,01,36480
514,0,593,78,593,0,0,0,1,01,36481
764,15,1090,308,1090,0,2,1,0,01,36482
21,7,536,499,536,5,0,0,4,01,36483
7686,324,18355,9062,18355,142,7,37,1097,01,36502
272,28,1481,1126,1481,2,3,2,48,01,36505
4310,304,19090,14012,19090,139,2,107,216,01,36507
272,63,1983,1124,1983,20,0,501,3,01,36509
12,8,764,666,764,70,1,2,5,01,36511
16,1,46,28,46,0,0,0,1,01,36512
298,17,555,188,555,6,0,0,46,01,36513
462,13,2842,2354,2842,5,0,1,7,01,36518
378,91,5431,4768,5431,18,0,8,168,01,36521
1195,151,7183,5217,7183,79,0,24,517,01,36522
68,41,2818,2552,2818,55,2,91,9,01,36523
456,16,1232,753,1232,0,0,2,5,01,36524
185,32,1935,1644,1935,37,1,2,34,01,36525
3548,337,27890,23272,27890,215,14,392,112,01,36526
626,163,12109,10989,12109,66,15,188,62,01,36527
5,12,1237,1204,1237,2,0,2,12,01,36528
100,7,478,365,478,3,1,0,2,01,36529
61,124,6873,6487,6873,118,3,37,43,01,36530
2099,251,27829,24955,27829,306,8,147,63,01,36532
2891,488,26767,21627,26767,1349,22,200,190,01,36535
205,5,374,164,374,0,0,0,0,01,36538
78,1,802,718,802,4,0,1,0,01,36539
479,2,691,204,691,0,0,0,6,01,36540
1816,263,15647,13106,15647,95,9,244,114,01,36541
228,247,12705,11800,12705,244,11,99,76,01,36542
0,6,66,53,66,2,0,0,5,01,36543
1165,207,12476,9676,12476,227,2,1119,80,01,36544
4814,64,9941,4963,9941,29,0,21,50,01,36545
350,12,1136,765,1136,4,1,0,4,01,36548
116,60,4271,4038,4271,16,0,16,25,01,36549
35,5,217,167,217,0,0,0,10,01,36550
1206,123,8258,6692,8258,150,4,31,52,01,36551
1288,80,3575,930,3575,13,8,5,1251,01,36553
1,5,654,625,654,13,0,4,6,01,36555
129,8,308,155,308,0,0,1,15,01,36556
782,33,3854,3017,3854,4,0,5,13,01,36558
0,0,233,231,233,2,0,0,0,01,36559
1677,61,3690,880,3690,17,0,3,1052,01,36560
16,100,5808,5534,5808,73,2,42,41,01,36561
140,21,1596,1389,1596,3,0,1,42,01,36562
0,0,107,107,107,0,0,0,0,01,36564
472,224,12672,11358,12672,446,3,47,122,01,36567
16,1,162,94,162,0,0,49,2,01,36568
232,3,928,686,928,0,0,2,5,01,36569
1648,188,14423,12171,14423,199,10,85,122,01,36571
553,71,6340,5572,6340,23,3,39,79,01,36572
12,35,1341,1245,1341,5,0,11,33,01,36574
1304,232,18345,16383,18345,184,1,101,140,01,36575
188,49,4143,3738,4143,140,1,8,19,01,36576
20,33,1749,1668,1749,11,0,4,13,01,36578
